id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
95jibuti,2020-03-31 08:59:20,吉布提,25,0,0,0,0,7.0,0.0,0.0,0.0,0.0,
953487,2020-03-31 08:57:58,布基纳法索,246,0,31,12,0,24.0,0.0,0.0,0.0,0.0,
954332,2020-03-31 17:33:14,比利时,12775,0,1696,705,0,876.0,0.0,1021.0,192.0,0.0,
9534324,2020-03-31 01:33:22,伊拉克,630,0,152,46,0,83.0,0.0,21.0,4.0,0.0,
95010,2020-03-31 02:34:34,冰岛,1086,0,157,2,0,66.0,0.0,33.0,0.0,0.0,
95jnybs,2020-03-26 00:00:31,几内亚比绍,2,0,0,0,0,,0.0,,,0.0,
953333666,2020-03-31 01:47:39,拉脱维亚,376,0,1,0,0,29.0,0.0,0.0,0.0,0.0,
9512111,2020-03-31 00:00:31,不丹,4,0,0,0,0,,,,,,
957873,2020-03-31 02:12:28,挪威,4451,0,7,32,0,206.0,0.0,0.0,6.0,0.0,
9524546,2020-03-31 18:41:09,印度尼西亚,1528,0,59,136,0,114.0,0.0,0.0,14.0,0.0,
956789,2020-03-31 14:26:05,安哥拉,7,0,1,2,0,0.0,0.0,1.0,0.0,0.0,
87656,2020-03-27 11:32:45,开曼群岛,5,0,0,1,0,,0.0,,,0.0,
95844,2020-03-31 17:43:59,埃塞俄比亚,25,0,2,0,0,2.0,0.0,0.0,0.0,0.0,
95879,2020-03-30 00:00:31,梵蒂冈,6,0,0,0,0,,0.0,,,0.0,
95632,2020-03-31 07:44:15,科特迪瓦,168,0,6,1,0,3.0,0.0,2.0,1.0,0.0,
95634,2020-03-31 01:39:27,卡塔尔,693,0,51,1,0,59.0,0.0,6.0,0.0,0.0,
950611,2020-03-31 16:50:17,格鲁吉亚,108,0,21,0,0,10.0,0.0,3.0,0.0,0.0,
96745,2020-03-31 09:39:19,墨西哥,1094,0,4,28,0,101.0,0.0,0.0,8.0,0.0,
95891,2020-03-31 16:31:34,圣马力诺,230,0,13,25,0,6.0,,7.0,3.0,,
95400,2020-03-31 09:19:23,哈萨克斯坦,302,0,21,1,0,18.0,0.0,0.0,0.0,0.0,
95643,2020-03-31 07:46:59,安道尔,370,0,10,8,0,62.0,0.0,5.0,5.0,0.0,
95886,2020-03-31 00:00:31,牙买加,32,0,2,1,0,,,,,,
82333,2020-03-27 11:33:37,格恩西岛,1,0,0,0,0,,0.0,,,0.0,
95677,2020-03-31 07:46:01,罗马尼亚,2109,0,209,65,0,349.0,0.0,40.0,23.0,0.0,
95436,2020-03-31 17:06:58,阿曼,192,0,34,0,0,13.0,0.0,5.0,0.0,0.0,
95672,2020-03-31 00:00:31,列支敦士登,62,0,0,0,0,,,,,,
9547021,2020-03-31 08:54:44,马达加斯加,46,0,0,0,0,3.0,0.0,0.0,0.0,0.0,
