主演,5星,制片国家/地区,编剧,4星,类型,豆瓣评分,3星,上映日期,1星,2星,电影名称,片长
甄子丹/姜文/孙俪/方中信/李宗翰/赵柯/王学兵/钱小豪/邵兵/董勇/王柏杰,2.20%,中国大陆 / 香港,麦兆辉/庄文强,8.10%,剧情/动作/传记/历史,4.9,38.10%,2011/4/26,16.50%,35.10%,关云长,110分钟
黎明/冯绍峰/刘亦菲/张涵予/黄秋生/陈小春/安志杰/贾青/孙文婷/孟瞳迪/黄姿琪/修庆/丁海峰/徐向东/陈观泰/午马/陈之辉/杜玉明,7.60%,中国大陆 / 香港,李仁港,26.50%,剧情/动作/爱情/历史/古装,6.3,45.20%,2011/11/29,5.30%,15.40%,鸿门宴传奇,135分钟
祖丽晴/张琳/邓玉婷/梁颖/刘红韵/高全胜/赵娜,6.90%,中国大陆,,20.90%,喜剧/动画,6.2,51.80%,2011/1/21,6.00%,14.30%,喜羊羊与灰太狼之兔年顶呱呱,88分钟
休·杰克曼/达科塔·高尤/凯文·杜兰/安东尼·麦凯/伊万杰琳·莉莉/霍普·戴维斯/詹姆斯·瑞布霍恩/奥嘉·方达,31.40%,美国 / 印度,丹·吉尔罗伊/约翰·盖汀斯/杰里米·莱文,47.20%,剧情/动作/科幻/运动,8.1,19.20%,2011/11/8,0.40%,1.80%,铁甲钢拳 Real Steel,127分钟
约翰尼·德普/安吉丽娜·朱莉/卢夫斯·塞维尔/保罗·贝坦尼/提摩西·道尔顿/史蒂文·伯克夫/克里斯蒂安·德·西卡/阿莱西奥·博尼/丹尼尔·佩奇/乔万尼·圭代利/雷欧·波瓦,7.90%,美国 / 法国 / 意大利,朱利安·费罗斯/克里斯托弗·麦奎里/弗洛里安·亨克尔·冯·多纳斯马尔克/热罗姆·萨尔,28.70%,剧情/悬疑/惊悚,6.6,49.80%,2011/2/13,1.70%,11.80%,致命伴旅 The Tourist,105分钟
马克·沃尔伯格/斯坦利·图齐/凯尔希·格兰莫/妮可拉·佩尔茨/杰克·莱诺/提图斯·维里沃/索非亚·迈尔斯/李冰冰/T·J·米勒/彼特·库伦/约翰·迪·玛吉欧/罗伯特·福克沃斯/约翰·古德曼/马克·瑞安/渡边谦/弗兰克·维尔克/雷诺·维尔森/阿比盖尔·克莱恩/托马斯·列农/韩庚/巫刚/吕良伟/王敏德 /纪培慧/邹市明,10.30%,美国 / 中国大陆,伊伦·克鲁格,27.70%,动作/科幻,6.5,44.30%,2014/6/27,4.20%,13.60%,变形金刚4：绝迹重生 Transformers: Age of Extinction,166分钟
黄渤/徐峥/袁泉/周冬雨/陶慧/岳小军/沈腾/张俪/马苏/刘美含/王砚辉/焦俊艳/郭涛/李晨/熊乃瑾/夏雨/刘仪伟/雷佳音/雍梦婷/梁浩,12.20%,中国大陆,岳小军/邢爱娜/孙小杭/董润年/章笛沙/张艺凡,37.30%,喜剧/爱情,7,40.30%,2014/9/30,2.00%,8.20%,心花路放,118分钟
甄子丹/周润发/郭富城/何润东/海一天/夏梓桐/陈乔恩/陈慧琳/梁咏琪/张梓琳/郑家星/刘桦/张兆辉/罗仲谦/李菁/汪圆圆/梁雨恩,2.00%,中国大陆 / 香港,黄子桓/霍昕/司徒锦源/陈大利,4.90%,动作/奇幻,4.1,24.70%,2014/1/31,35.10%,33.30%,西游记之大闹天宫,119分钟
张涵予/梁家辉/林更新/余男/佟丽娅/韩庚/陈晓/谢苗/吴旭东/杜奕衡/海一天/张立/释彦能/孙蛟龙/程思寒/元武/肖轶/王尧/杨一威,19.60%,中国大陆 / 香港,黄建新/李杨/徐克/吴兵/董哲/林启安,49.20%,动作/战争/冒险,7.7,26.80%,2014/12/23,1.00%,3.30%,智取威虎山,141分钟
马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦/卡西·阿弗莱克/迈克尔·凯恩/马特·达蒙/麦肯吉·弗依/蒂莫西·柴勒梅德/艾伦·伯斯汀/约翰·利思戈/韦斯·本特利/大卫·吉雅西/比尔·欧文/托弗·戈瑞斯/科莱特·沃夫/弗朗西斯·X·麦卡蒂/安德鲁·博尔巴/乔什·斯图沃特/莱雅·卡里恩斯/利亚姆·迪金森/杰夫·赫普内尔/伊莱耶斯·加贝尔/布鲁克·史密斯/大卫·奥伊罗/威廉姆·德瓦内/拉什·费加/格里芬·弗雷泽/弗洛拉·诺兰,65.70%,美国 / 英国 / 加拿大 / 冰岛,乔纳森·诺兰/克里斯托弗·诺兰,27.10%,剧情/科幻/冒险,9.1,6.20%,2014/11/12,0.30%,0.60%,星际穿越 Interstellar,169分钟
休·杰克曼/詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯/哈莉·贝瑞/尼古拉斯·霍尔特/埃文·彼得斯/伊恩·麦克莱恩/帕特里克·斯图尔特/艾伦·佩吉/安娜·帕奎因/彼特·丁拉基/肖恩·阿什莫/卢卡斯·提尔/丹尼尔·库德摩尔/波波·斯图尔特/奥玛·希/范冰冰/阿丹·坎托/乔什·赫尔曼,31.70%,美国 / 英国,西蒙·金伯格/简·古德曼/马修·沃恩,47.60%,动作/科幻/冒险,8.2,18.90%,2014/5/23,0.30%,1.40%,X战警：逆转未来 X-Men: Days of Future Past,131分钟(美国)
克里斯·埃文斯/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦/安东尼·麦凯/海莉·阿特维尔/艾米丽·万凯普/罗伯特·雷德福/塞缪尔·杰克逊/寇碧·史莫德斯/卡兰·马尔韦/弗兰克·格里罗/斯坦·李/托比·琼斯/珍妮·艾加特/乔治·圣皮埃尔/盖瑞·山德林/阿兰·戴尔/黄经汉/阿德托库姆布斯·麦克马克/多米尼克·瑞恩斯,24.10%,美国,克里斯托弗·马库斯/斯蒂芬·麦克菲利,49.70%,动作/科幻/冒险,7.9,24.00%,2014/4/4,0.40%,1.90%,美国队长2 Captain America: The Winter Soldier,136分钟
