,渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间,素材类型,广告类型,合作方式,广告尺寸,广告卖点
178,A49,2.8,0.0,0.0,1.1815,156.15,0.0,16,swf,tips,cpm,450*300,打折
179,A50,0.62,0.0,0.0,5.8497,731.24,0.0307,22,swf,tips,cpm,450*300,打折
180,A51,0.75,0.0118,0.0,2.3412,358.06,0.0032,26,swf,tips,cpm,450*300,打折
181,A52,0.71,0.0,0.0,1.6316,595.08,0.0,9,swf,tips,cpm,450*300,打折
182,A53,0.69,0.0,0.0106,1.7234,339.95,0.0,26,swf,tips,cpm,450*300,打折
183,A54,10.37,0.0027,0.2581,2.0878,460.32,0.0023,16,swf,tips,cpm,450*300,打折
184,A55,22.03,0.0028,0.273,1.9634,331.8,0.0026,9,swf,tips,cpm,450*300,打折
185,A56,8.69,0.0052,0.2721,2.2492,320.94,0.003,27,swf,tips,cpm,450*300,打折
186,A569,1696.8,0.0006,0.0025,1.4892,449.28,0.0007,27,swf,tips,cpc,450*300,满赠
187,A57,1371.16,0.0007,0.0032,1.3058,196.46,0.0005,15,swf,tips,cpm,450*300,打折
188,A58,8022.95,0.0015,0.0028,1.2836,222.02,0.0006,13,swf,tips,cpm,450*300,打折
189,A671,2857.91,0.0002,0.0004,1.1931,504.9,0.0004,14,swf,tips,cpm,450*300,直降
190,A672,617.93,0.0004,0.0004,1.2229999999999999,540.66,0.0003,4,swf,tips,cpm,450*300,直降
191,A673,2774.65,0.0005,0.004,1.4392,218.48,0.0005,11,swf,tips,cpm,450*300,直降
192,A674,865.18,0.0083,0.0474,4.8006,406.2,0.0108,19,swf,tips,cpm,450*300,直降
193,A675,1688.73,0.0014,0.003,1.7099,231.09,0.0006,15,swf,tips,cpm,450*300,直降
194,A676,4701.77,0.0001,0.0022,1.4726,402.4,0.0001,17,swf,tips,cpm,450*300,直降
195,A677,3005.82,0.0003,0.0018,1.2415,466.74,0.0003,16,swf,tips,cpm,450*300,直降
196,A678,73.63,0.0011,0.0032,1.2954,183.13,0.0005,15,swf,tips,cpm,450*300,直降
197,A679,693.89,0.0013,0.0036,1.5914,232.55,0.0011,16,swf,tips,cpc,450*300,直降
198,A680,1945.05,0.0002,0.0019,1.348,619.79,0.0003,9,swf,tips,cpc,450*300,直降
199,A681,146.68,0.0011,0.0021,1.7829,290.85,0.0013,26,swf,tips,cpc,450*300,直降
200,A682,4001.49,0.0,0.0002,1.3918,432.26,0.0001,9,swf,tips,cpc,450*300,直降
201,A683,583.85,0.0082,0.0941,4.1954,392.9,0.0106,28,swf,tips,cpc,450*300,直降
202,A684,1643.32,0.0,0.0003,1.0218,575.75,0.0,23,swf,tips,cpc,450*300,直降
203,A686,6087.03,0.0,0.0004,1.5439,764.75,0.0,11,swf,tips,cpc,450*300,满减
204,A687,3.44,0.0,0.0,1.0287,486.22,0.0,22,swf,tips,cpc,450*300,直降
205,A688,1.61,0.0,0.0,1.0121,298.53,0.0,17,swf,tips,cpc,450*300,直降
206,A861,66.02,0.0,0.0036,2.9038,296.99,0.0001,30,jpg,tips,roi,450*300,秒杀
207,A1,0.77,0.0,0.0127,1.9494,340.73,0.0,4,swf,不确定,cpc,600*90,打折
208,A10,1098.3,0.0008,0.006,1.9497,448.69,0.0007,25,swf,不确定,cpc,600*90,打折
209,A100,307.46,0.0153,0.1413,7.2082,523.27,0.0308,17,swf,不确定,cpm,600*90,打折
